attrition_flag,customer_age,total_trans_amt,total_trans_ct,credit_limit,months_inactive_12_mon,contacts_count_12_mon,income_category
Existing Customer,45,1144,42,12691,1,3,60K-80K
Existing Customer,49,1291,33,8256,1,2,Lessthan40K
Existing Customer,51,1887,20,3418,1,0,80K-120K
Existing Customer,40,1171,20,3313,4,1,Lessthan40K
Existing Customer,40,816,28,4716,1,0,60K-80K
Existing Customer,44,1088,24,4010,1,2,40K-60K
Existing Customer,51,1330,31,34516,1,3,120K+
Existing Customer,32,1538,36,29081,2,2,60K-80K
Existing Customer,37,1350,24,22352,2,0,60K-80K
Existing Customer,48,1441,32,11656,3,3,80K-120K
Existing Customer,42,1201,42,6748,3,2,120K+
Existing Customer,65,1314,26,9095,2,3,40K-60K
Existing Customer,56,1539,17,11751,6,0,80K-120K
Existing Customer,35,1311,33,8547,1,3,60K-80K
Existing Customer,57,1570,29,2436,2,2,Lessthan40K
Existing Customer,44,1348,27,4234,1,2,80K-120K
Existing Customer,48,1671,27,30367,2,3,80K-120K
Existing Customer,41,1028,21,13535,4,1,80K-120K
Existing Customer,61,1336,30,3193,2,3,40K-60K
Existing Customer,45,1207,21,14470,1,2,Unknown
Existing Customer,47,1178,27,20979,2,0,60K-80K
Attrited Customer,62,692,16,1438.3,3,3,Lessthan40K
Existing Customer,41,931,18,4470,2,1,40K-60K
Existing Customer,47,1126,23,2492,3,2,Lessthan40K
Existing Customer,54,1110,21,12217,2,3,80K-120K
Existing Customer,41,1051,22,7768,1,2,Lessthan40K
Existing Customer,59,1197,23,14784,1,2,40K-60K
Existing Customer,63,1904,40,10215,3,2,60K-80K
Existing Customer,44,1052,18,10100,2,2,Unknown
Existing Customer,47,1045,38,4785,0,0,40K-60K
Existing Customer,53,1038,25,2753,2,3,80K-120K
Existing Customer,53,1596,26,2451,5,1,60K-80K
Existing Customer,41,1589,24,8923,1,2,60K-80K
Existing Customer,53,1411,28,2650,2,3,Lessthan40K
Existing Customer,58,1291,24,12555,2,2,80K-120K
Existing Customer,55,1407,43,3520,2,1,Lessthan40K
Existing Customer,55,1877,37,3035,2,3,Lessthan40K
Existing Customer,42,966,22,15433,3,3,Lessthan40K
Existing Customer,57,1464,28,3672,3,2,40K-60K
Attrited Customer,66,704,16,7882,4,3,Unknown
Existing Customer,45,1109,28,32426,2,2,80K-120K
Existing Customer,51,1347,28,6205,1,0,40K-60K
Existing Customer,50,1756,33,17304,2,3,40K-60K
Existing Customer,49,1756,32,3906,2,1,60K-80K
Existing Customer,38,1042,23,9830,3,3,Unknown
Existing Customer,49,1444,28,34516,2,3,80K-120K
Existing Customer,56,1741,27,2283,2,0,60K-80K
Existing Customer,59,1719,27,2548,2,2,40K-60K
Existing Customer,46,1217,27,19458,3,3,80K-120K
Existing Customer,52,1140,40,4745,1,1,80K-120K
Existing Customer,52,1878,30,2622,3,2,Lessthan40K
Attrited Customer,54,705,19,1438.3,3,1,Lessthan40K
Existing Customer,66,1946,38,3171,4,2,Lessthan40K
Existing Customer,49,1414,35,19763,2,0,120K+
Attrited Customer,56,602,15,15769,3,3,120K+
Existing Customer,49,1052,32,3298,4,2,Lessthan40K
Existing Customer,49,1295,40,2802,2,0,Lessthan40K
Existing Customer,56,1424,29,4458,2,3,40K-60K
Existing Customer,44,1359,25,6273,1,2,Unknown
Existing Customer,42,1168,27,3336,4,3,60K-80K
Existing Customer,55,1097,33,3436,2,3,80K-120K
Attrited Customer,48,691,15,34516,4,4,60K-80K
Existing Customer,39,1316,28,5926,3,3,60K-80K
Existing Customer,44,1276,26,23957,4,2,120K+
Existing Customer,53,1289,23,14734,2,2,120K+
Existing Customer,51,1293,32,34516,1,4,80K-120K
Existing Customer,57,1353,35,6584,3,3,60K-80K
Existing Customer,44,1132,28,2084,3,3,Lessthan40K
Existing Customer,49,1670,17,1687,2,2,60K-80K
Existing Customer,50,837,15,25300,2,2,80K-120K
Existing Customer,51,1550,41,34516,2,3,120K+
Existing Customer,55,1540,36,2216,3,3,Lessthan40K
Existing Customer,54,1256,21,2910,2,3,60K-80K
Existing Customer,42,1394,35,22913,2,2,80K-120K
Existing Customer,44,1341,24,24312,3,3,60K-80K
Existing Customer,53,1289,33,5272,3,2,80K-120K
Existing Customer,44,1112,23,7000,4,2,Lessthan40K
Existing Customer,37,2339,57,7038,4,2,Lessthan40K
Existing Customer,49,1468,23,2536,1,2,60K-80K
Existing Customer,47,1334,35,28904,3,2,80K-120K
Existing Customer,47,1457,41,8567,4,0,60K-80K
Existing Customer,44,1603,29,34516,2,2,120K+
Attrited Customer,55,615,12,2158,4,3,40K-60K
Existing Customer,59,1068,20,10133,3,3,Unknown
Existing Customer,53,1590,27,34516,4,2,80K-120K
Existing Customer,52,1531,35,3085,3,0,60K-80K
Existing Customer,53,1212,31,19040,2,1,120K+
Existing Customer,43,1237,32,4026,2,3,Lessthan40K
Existing Customer,44,1413,14,12756,3,1,60K-80K
Existing Customer,57,1516,29,5266,3,3,120K+
Existing Customer,51,1276,21,9930,2,2,Lessthan40K
Existing Customer,49,1564,35,31302,3,0,80K-120K
Existing Customer,45,1465,34,6576,4,3,40K-60K
Existing Customer,53,1286,29,2664,4,1,80K-120K
Existing Customer,45,1312,20,2535,1,2,Unknown
Existing Customer,64,1673,32,1709,4,3,Lessthan40K
Existing Customer,45,1313,30,3454,4,2,40K-60K
Existing Customer,53,1609,42,3789,3,2,40K-60K
Existing Customer,56,1158,19,9689,2,0,120K+
Attrited Customer,47,836,18,5449,3,3,80K-120K
Existing Customer,49,1289,22,23032,4,0,Unknown
Existing Customer,41,1487,26,34516,3,3,Unknown
Existing Customer,53,1259,33,2940,2,2,120K+
Existing Customer,44,1298,15,3031,3,3,Lessthan40K
